date,A_buyhold,B_overlay,C_pp_only
2025-09-04,1.0005331895426575,1.0005331895426575,1.0018155
2025-09-05,0.9948920155357461,0.9948920155357461,1.00363429604025
2025-09-08,0.97796159174058,0.97796159174058,1.005456394104711
2025-09-09,0.9817066777952325,0.9817066777952325,1.007281800188208
2025-09-10,0.9923594662522419,0.9923594662522419,1.0091105202964497
2025-09-11,0.9802851225151612,0.9802851225151612,1.0109425604460478
2025-09-12,0.9820714147168207,0.9820714147168207,1.0127779266645376
2025-09-15,1.0222804699625108,1.0222804699625108,1.014616624990397
2025-09-16,1.033776567492579,1.033776567492579,1.016458661473067
2025-09-17,1.0285242938058785,1.0285242938058785,1.0183040421729714
2025-09-18,1.0295990871006717,1.0295990871006717,1.0201527731615365
2025-09-19,1.0461283709613685,1.0461283709613685,1.0220048605212113
2025-09-22,1.0611662487516966,1.0611662487516966,1.0238603103454875
2025-09-23,1.0483890716113942,1.0483890716113942,1.0257191287389198
2025-09-24,1.0491831278209593,1.0491831278209593,1.0275813218171452
2025-09-25,1.0474449108574488,1.0474449108574488,1.0294468957069043
2025-09-26,1.0369527946723025,1.0369527946723025,1.03131585654606
2025-09-29,1.0375920882136893,1.0375920882136893,1.0331882104836194
2025-09-30,1.0377506270201389,1.0377506270201389,1.0350639636797525
2025-10-01,1.055678258158555,1.055678258158555,1.036943122305813
2025-10-02,1.0509018481742922,1.0509018481742922,1.038825692544359
2025-10-03,1.037236471012984,1.037236471012984,1.0407116805891734
2025-10-06,1.0306344656400466,1.0306344656400466,1.0426010926452831
2025-10-07,1.0297397899897789,1.0297397899897789,1.0444939349289806
2025-10-08,1.0305164082527374,1.0305164082527374,1.046390213667844
2025-10-09,1.0292315531815872,1.0292315531815872,1.048289935100758
2025-10-10,1.0215419199573537,1.0215419199573537,1.0501931054779334
2025-10-13,1.018439856388715,1.018439856388715,1.0520997310609286
2025-10-14,0.9953040400361315,0.9953040400361315,1.0540098181226696
2025-10-15,1.0057547299684815,1.0057547299684815,1.0559233729474713
2025-10-16,0.9993085251174657,0.9993085251174657,1.0578404018310574
2025-10-17,0.9898054600321776,0.9898054600321776,1.0597609110805817
2025-10-20,1.0100112758421587,1.0100112758421587,1.0616849070146483
2025-10-21,1.0065232530818018,1.0065232530818018,1.0636123959633335
2025-10-22,1.0076179820350484,1.0076179820350484,1.065543384268205
2025-10-23,1.014118317227688,1.014118317227688,1.0674778782823438
2025-10-24,1.0392680291479477,1.0392680291479477,1.0694158843703654
2025-10-27,1.0373006130374782,1.0373006130374782,1.0713574089084397
2025-10-28,1.0422852785286976,1.0422852785286976,1.073302458284313
2025-10-29,1.0444760371412927,1.0444760371412927,1.075251038897328
2025-10-30,1.0388734065098157,1.0388734065098157,1.077203157158446
2025-10-31,1.051414725255719,1.051414725255719,1.079158819490267
2025-11-03,1.058684786930974,1.058684786930974,1.0811180323270515
2025-11-04,1.0400027960351186,1.0400027960351186,1.0830808021147413
2025-11-05,1.0452231085102952,1.0452231085102952,1.0850471353109805
2025-11-06,1.0436469619395419,1.0436469619395419,1.0870170383851376
2025-11-07,1.0364699997163824,1.0364699997163824,1.088990517818326
2025-11-10,1.0355768853173704,1.0355768853173704,1.090967580103425
2025-11-11,1.017695835719213,1.017695835719213,1.092948231745103
2025-11-12,1.0224585989994788,1.0224585989994788,1.094932479259836
2025-11-13,1.0129983971253207,1.0129983971253207,1.0969203291759322
2025-11-14,1.0075071800960167,1.0075071800960167,1.098911788033551
2025-11-17,1.0127472338563663,1.0127472338563663,1.100906862384726
2025-11-18,1.0164929831957261,1.0164929831957261,1.1029055587933854
2025-11-19,1.025244549234475,1.025244549234475,1.1049078838353747
2025-11-20,1.0233550598789796,1.0233550598789796,1.1069138440984778
2025-11-21,1.0164595664934024,1.0164595664934024,1.1089234461824387
2025-11-24,1.0213765221043816,1.0213765221043816,1.1109366966989829
2025-11-25,1.0147539842930118,1.0147539842930118,1.1129536022718398
2025-11-26,1.023102694677381,1.023102694677381,1.1149741695367643
2025-11-27,1.025589232755037,1.025589232755037,1.1169984051415582
2025-11-28,1.0231878532575038,1.0231878532575038,1.1190263157460927
2025-12-01,1.0381630292881545,1.0359205441818846,1.1210579080223297
2025-12-02,1.0443458963129584,1.042264269629203,1.1230931886543443
2025-12-03,1.0408182780836095,1.0409837452978967,1.1251321643383463
2025-12-04,1.0343790493056861,1.0374966976929014,1.1271748417827026
2025-12-05,1.038462414763672,1.0399339136113668,1.129221227707959
2025-12-08,1.05399278401454,1.051769352223887,1.1312713288468628
2025-12-09,1.0611111282314187,1.0581243752299534,1.133325151944384
2025-12-10,1.0572535220948924,1.0555975673125748,1.135382703757739
2025-12-11,1.059252044140343,1.057044176602175,1.1374439910564111
2025-12-12,1.057516832575609,1.0539297348436099,1.139509020622174
2025-12-15,1.0640173475053618,1.0575643159431485,1.1415777992491136
2025-12-16,1.060762489414807,1.056997374066178,1.1436503337436503
2025-12-17,1.0521001345514487,1.050058025347516,1.145726630924562
2025-12-18,1.0562485658519427,1.0534737605257547,1.1478066976230055
2025-12-19,1.0654915131244496,1.0628769546309567,1.14989054068254
2025-12-22,1.0666185193833753,1.0650161275824577,1.1519781669591491
2025-12-23,1.0681656116355354,1.0673560479425954,1.1540695833212635
2025-12-24,1.0721339720665084,1.0705540502128172,1.1561647966497832
2025-12-26,1.0747131210946543,1.0744825273271648,1.158263813838101
2025-12-29,1.0603094170851293,1.0636321687898307,1.160366641792124
2025-12-30,1.066825297492944,1.0689503500001183,1.1624732874302974
2025-12-31,1.0651214860004432,1.0666559086510867,1.164583757683627
2026-01-02,1.0853183496280523,1.081942403322812,1.1666980594957017
2026-01-05,1.1037801534822598,1.0961836848947306,1.1688161998227162
2026-01-06,1.1242115629793181,1.1097321408723837,1.1709381856334944
2026-01-07,1.1264357062787205,1.1121700745875946,1.173064023909512
2026-01-08,1.1297064188439414,1.1144638878964939,1.1751937216449198
2026-01-09,1.1348327531519282,1.117423507215691,1.177327285846566
2026-01-12,1.1440020130821167,1.125646771830513,1.1794647235340203
2026-01-13,1.1589590615184753,1.1378944313679507,1.1816060417395964
2026-01-14,1.1628859892825771,1.142449039302604,1.1837512475083747
2026-01-15,1.1675073223688783,1.1454652240476937,1.1859003478982262
2026-01-16,1.1809087177336763,1.154395699672749,1.1880533499798354
2026-01-19,1.1865144846380034,1.1585392059770925,1.1902102608367238
2026-01-20,1.1907702650712801,1.1618236033136995,1.1923710875652729
2026-01-21,1.1911709009386415,1.164237589447193,1.1945358372747477
2026-01-22,1.201030002858821,1.171589720422098,1.1967045170873198
2026-01-23,1.2165395976222422,1.1840625088096801,1.198877134138092
2026-01-26,1.2295233766218852,1.1931178943277496,1.2010536955751197
2026-01-27,1.229235689472957,1.1947129398904643,1.2032342085594363
2026-01-28,1.2512513124638052,1.210048810855099,1.205418680265076
2026-01-29,1.2715606406251305,1.221079301217574,1.207607117879097
2026-01-30,1.2614639514533967,1.2116201391359573,1.2097995286016066
2026-02-02,1.2376899887662274,1.1936429789959844,1.2119959196457828
2026-02-03,1.2495755484767468,1.2002423630575112,1.2141962982378998
2026-02-04,1.2456243979460921,1.1965033350851024,1.2164006716173505
2026-02-05,1.205331483151587,1.1642970807883242,1.2186090470366717
2026-02-06,1.234281815872758,1.19398202164328,1.2208214317615667
2026-02-09,1.263579164994569,1.2161303237706749,1.2230378330709297
2026-02-10,1.2558480795926312,1.2099297678852925,1.22525825825687
2026-02-11,1.254948505684153,1.209635469556931,1.2274827146247353
2026-02-12,1.27000330425634,1.216427133283319,1.2297112094931366
2026-02-13,1.2762603865955078,1.2228009196287553,1.2319437501939714
2026-02-16,1.2865375481196186,1.2298181585556185,1.2341803440724486
2026-02-17,1.2804675185985572,1.226663631872297,1.2364209984871122
2026-02-18,1.285890671096163,1.2315858436840326,1.2386657208098655
2026-02-19,1.2622950815686713,1.2186318172679513,1.2409145184259958
2026-02-20,1.2771234062834436,1.2306358459094,1.243167398734198
2026-02-23,1.2849012295516788,1.2358695418260026,1.2454243691465998
2026-02-24,1.2855152884860954,1.2370763161609868,1.2476854370887855
2026-02-25,1.281078906419548,1.238186121875908,1.24995060999982
2026-02-26,1.2775807787996516,1.2337502837698988,1.2522198953322747
2026-02-27,1.2631122174385359,1.2235278089213373,1.2544933005522505
2026-03-02,1.2478411977411652,1.216912492770074,1.256770833139403
2026-03-03,1.213906391610519,1.1930593277458137,1.2590525005869675
2026-03-04,1.2256598877005982,1.2047756970589236,1.261338310401783
2026-03-05,1.2309924061241773,1.207427924509712,1.2636282701043173
2026-03-06,1.2072061423659217,1.190690194594237,1.2659223872286918
2026-03-09,1.210055129449866,1.1958642120422118,1.2682206693227054
2026-03-10,1.2433364033388146,1.218645439418352,1.2705231239478607
2026-03-11,1.2450960298777431,1.220218271057883,1.272829758679388
2026-03-12,1.2477161543915005,1.2213089830926005,1.2751405811062704
2026-03-13,1.233073298300472,1.2115387600798226,1.2774555988312688
2026-03-16,1.2319707017736239,1.2138024252487656,1.2797748194709468
2026-03-17,1.2488408414040038,1.2250598227202658,1.2820982506556964
2026-03-18,1.2348087340936948,1.2139164691026016,1.2844259000297618
2026-03-19,1.226504272285306,1.2076034908623607,1.2867577752512658
2026-03-20,1.2184900770099103,1.2000947089956504,1.2890938839922343
2026-03-23,1.2234891073759901,1.2050133437311825,1.2914342339386222
2026-03-24,1.208221307919061,1.196206179686131,1.2937788327903377
2026-03-25,1.2167891229373904,1.2031514792511855,1.2961276882612685
2026-03-26,1.1905517760641788,1.1860345253930435,1.2984808080793067
2026-03-27,1.1847449293351318,1.1852300876038753,1.3008381999863745
